track_name,artist_name,artist_count,released_year,released_month,released_day,streams,in_spotify_playlists,in_spotify_charts,bpm,key_signature,mode_type,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,30,26,15,0,0,90,0,0,63,75
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,151,102,175,5,29,94,0,0,84,90
"Still D.R.E.","Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,"6,591",1,0,93,0,0,81,53
"Stay Alive (Prod. SUGA of BTS)","Jung Kook",1,2022,2,11,590,5,246376690,4,113,20,0,1,130,0,0,51,50
Boyfriend,"Dove Cameron",1,2022,2,11,3766,0,496311364,76,0,102,0,2,180,0,0,35,23
"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379,46,1,34,0,0,134,0,0,53,31
"The Next Episode","Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,142,40,"5,451",1,953,95,0,0,92,31
"Light Switch","Charlie Puth",1,2022,1,19,4049,0,500340342,119,6,85,1,1,184,0,0,69,91
"City of Gods","Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,0,147,0,0,47,50
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,0,123,0,0,52,44
Lost,"Frank Ocean",1,2012,1,1,29499,11,822239726,124,27,587,0,4,123,0,0,91,49
"In Da Club","50 Cent",1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,0,0,90,79
"she's all i wanna be","Tate McRae",1,2022,2,4,2711,0,343197054,105,12,51,0,12,160,0,0,61,65
"Ginseng Strip 2002","Yung Lean",1,2013,8,16,4310,0,240769997,13,0,113,1,3,115,0,0,60,37
"All For Us - from the HBO Original Series Euphoria","Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,33,123,7,0,4,141,0,0,37,17
Notion,"The Rare Occasions",1,2016,8,5,2393,0,421135627,22,13,65,0,6,160,0,0,31,30
Formula,Labrinth,1,2019,10,4,3444,7,554875730,24,85,102,0,1,145,0,0,57,23
"Mount Everest",Labrinth,1,2019,6,21,5443,0,467727006,45,1,80,0,12,89,0,0,46,43
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,7,21,2,0,0,95,0,0,84,49
Cigarettes,"Juice WRLD",1,2021,12,10,975,0,185408548,11,0,10,0,0,160,0,0,60,47
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,19,5,12,0,0,174,0,0,67,74
"California Love - Original Version (Explicit)","Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,128,17,"1,663",0,0,92,0,0,77,76
"Forgot About Dre","Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3,134,0,0,93,61
"Down Under (feat. Colin Hay)","Luude, Colin Hay",2,2021,11,19,3541,2,252871192,57,13,50,1,7,172,0,0,31,4
Mujeriego,"Ryan Castro",1,2021,12,17,1492,0,231996128,44,63,91,0,24,80,0,0,76,92
HUMBLE.,"Kendrick Lamar",1,2017,3,30,33206,1,1929770265,284,114,"1,481",0,5,150,0,0,91,42
Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0,80,0,0,78,53
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,0,0,81,83
Swim,"Chase Atlantic",1,2017,10,4,2742,0,498960285,5,1,62,0,0,120,0,0,67,8
"A Tu Merced","Bad Bunny",1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,0,0,86,89
"Numb Little Bug","Em Beihold",1,2022,1,28,2026,0,258714692,47,3,42,12,6,85,0,0,74,61
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,0,154,0,0,79,86
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,42,7,15,0,4,92,0,0,73,37
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,0,140,0,0,89,75
"Worst Day",Future,1,2022,2,11,910,0,50746620,20,3,24,0,0,89,0,0,65,60
Malvada,"Zï¿½ï¿½ Fe",1,2022,1,28,601,0,154119539,28,73,64,0,0,135,0,0,89,89
"Hrs and Hrs","Muni Long",1,2021,11,19,1800,0,181328253,43,36,46,13,4,140,0,0,51,66
"Alien Blues",Vundabar,1,2015,7,24,1930,0,370068639,3,0,28,0,1,82,0,0,47,44
"Thinking Out Loud","Ed Sheeran",1,2014,1,1,33032,0,2147483647,363,129,"3,895",0,28,79,0,0,78,58
"Still Don't Know My Name",Labrinth,1,2019,10,4,6332,0,563902868,47,116,266,0,0,88,0,0,31,31
"Christmas Tree",V,1,2021,12,24,509,9,317622165,8,106,6,0,8,139,0,0,44,18
"Mal Feito - Ao Vivo","Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,971,2,291709698,35,104,93,1,0,124,0,0,73,68
"When I R.I.P.",Labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,0,80,0,0,39,45
"Do We Have A Problem?","Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,0,120,0,0,84,54
Forever,Labrinth,1,2019,10,4,3618,0,282883169,21,86,138,0,2,80,0,0,56,19
"Gospel (with Eminem)","Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,0,117,0,0,92,62
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2147483647,453,50,"1,785",1,8,117,0,0,76,77
"NEW MAGIC WAND","Tyler, The Creator",2,2019,5,16,4708,0,461437791,13,7,55,0,1,140,0,0,62,46
"Adore You","Harry Styles",1,2019,12,6,13454,1,1439191367,246,71,519,2,5,99,0,0,68,57
"La Santa","Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,52,42,100,0,0,93,0,0,74,59
"Something In The Way - Remastered 2021",Nirvana,1,1991,9,24,9514,0,368646862,45,27,"1,197",0,43,106,0,0,44,8
"Sweetest Pie","Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472,69,2,51,11,0,124,0,0,81,68
"Bam Bam (feat. Ed Sheeran)","Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987,185,40,492,9,35,95,0,0,76,96
"Una Noche en Medellï¿½","Cris Mj",1,2022,1,21,5415,32,682475162,46,16,53,1,2,96,0,0,87,82
Envolver,Anitta,1,2021,11,11,4673,2,546191065,123,113,180,1,4,92,0,0,81,40
Starlight,Dave,1,2022,3,3,1856,3,229473310,29,40,31,1,1,124,0,0,95,36
"Hati-Hati di Jalan",Tulus,1,2022,3,3,200,2,202677468,12,4,0,0,0,72,0,0,64,76
"I'm Tired - From "Euphoria" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181,26,1,58,0,0,71,0,0,28,26
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039,45,0,99,1,1,135,0,0,78,55
"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1,2004,5,4,2954,2,527033089,18,82,0,0,5,95,0,0,81,56
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,0,71,0,0,59,70
Jordan,"Ryan Castro",1,2021,4,30,2844,2,394030335,29,2,35,1,0,180,0,0,80,71
"Nail Tech","Jack Harlow",1,2022,2,18,2939,0,193443895,42,0,24,0,0,150,0,0,65,11
Chale,"Eden Muï¿½ï",1,2022,2,18,695,11,299648208,16,41,13,1,1,189,0,0,55,86
DARARI,Treasure,1,2022,2,15,328,0,182978249,10,21,7,0,9,85,0,0,72,55
"Ya No Somos Ni Seremos","Christian Nodal",1,2022,2,18,866,16,319757142,27,84,32,7,11,140,0,0,59,73
"Thinking with My Dick","Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573,0,0,14,0,0,81,0,0,77,68
"Freaky Deaky","Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,26,1,19,0,0,104,0,0,80,24
"this is what falling in love feels like",JVKE,1,2021,9,3,2005,0,346127840,16,5,43,0,7,129,0,0,42,33
"La Zona","Bad Bunny",1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,0,0,76,81
"Bohemian Rhapsody - Remastered 2011",Queen,1,1975,10,31,40112,3,2147483647,321,162,"5,691",8,17,71,0,0,41,23
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,11,10,267,0,7,146,0,0,59,23
Levitating,"Dua Lipa",1,2020,3,27,9833,0,797196073,233,82,531,1,1,103,0,0,69,90
"Wake Me Up - Radio Edit",Avicii,1,2013,1,1,50887,34,1970673297,315,160,"6,284",1,46,124,0,0,53,66
"jealousy, jealousy","Olivia Rodrigo",1,2021,5,21,3257,0,665765558,10,0,70,0,0,164,0,0,70,71
"Monï¿½ï¿½y so",YEAT,1,2021,9,10,1473,0,263779030,2,0,12,0,10,138,0,0,69,35
